level,title,author,year,word_count,file
A1,The Hare and the Tortoise,"Aesop (trans. V. S. Vernon Jones, 1912)",c. 600 BCE,150,stories/a1-a2/the-hare-and-the-tortoise.txt
A1,The Ant and the Grasshopper,"Aesop (trans. V. S. Vernon Jones, 1912)",c. 600 BCE,150,stories/a1-a2/the-ant-and-the-grasshopper.txt
A1,The Lion and the Mouse,"Aesop (trans. V. S. Vernon Jones, 1912)",c. 600 BCE,184,stories/a1-a2/the-lion-and-the-mouse.txt
A2,The Tale of Peter Rabbit,Beatrix Potter,1902,997,stories/a1-a2/the-tale-of-peter-rabbit.txt
A2,The Little Match Girl,Hans Christian Andersen,1845,1014,stories/a1-a2/the-little-match-girl.txt
A2,How the Camel Got His Hump,Rudyard Kipling,1902,1071,stories/a1-a2/how-the-camel-got-his-hump.txt
A2,The Emperor's New Clothes,Hans Christian Andersen,1837,1869,stories/a1-a2/the-emperors-new-clothes.txt
A2,The Fisherman and His Wife,Brothers Grimm (trans. Margaret Hunt),1812,2115,stories/a1-a2/the-fisherman-and-his-wife.txt
B1,The Open Window,Saki (H. H. Munro),1914,1208,stories/b1/the-open-window.txt
B1,After Twenty Years,O. Henry,1906,1261,stories/b1/after-twenty-years.txt
B1,The Three Questions,Leo Tolstoy (trans. L. & A. Maude),1885,1562,stories/b1/the-three-questions.txt
B1,The Selfish Giant,Oscar Wilde,1888,1652,stories/b1/the-selfish-giant.txt
B1,A Pair of Silk Stockings,Kate Chopin,1897,1884,stories/b1/a-pair-of-silk-stockings.txt
B1,The Gift of the Magi,O. Henry,1905,2061,stories/b1/the-gift-of-the-magi.txt
B1,The Last Leaf,O. Henry,1907,2346,stories/b1/the-last-leaf.txt
B1,"The Lady, or the Tiger?",Frank R. Stockton,1882,2703,stories/b1/the-lady-or-the-tiger.txt
B1,The Happy Prince,Oscar Wilde,1888,3490,stories/b1/the-happy-prince.txt
B1,How Much Land Does a Man Need?,Leo Tolstoy (trans. L. & A. Maude),1886,6217,stories/b1/how-much-land-does-a-man-need.txt
B2,The Tell-Tale Heart,Edgar Allan Poe,1843,2078,stories/b2/the-tell-tale-heart.txt
B2,The Notorious Jumping Frog of Calaveras County,Mark Twain,1865,2554,stories/b2/the-jumping-frog.txt
B2,The Bet,Anton Chekhov (trans. Constance Garnett),1889,2689,stories/b2/the-bet.txt
B2,The Necklace (The Diamond Necklace),Guy de Maupassant,1884,2836,stories/b2/the-necklace.txt
B2,To Build a Fire,Jack London,1908,7081,stories/b2/to-build-a-fire.txt
