conversation,status
39_talking_about_your_day.json,done
1_meeting_someone_new.json,done
2_ordering_coffee.json,done
3_asking_for_directions.json,done
4_at_a_restaurant.json,done
5_shopping_for_clothes.json,done
6_at_the_grocery_store.json,done
7_making_plans_on_the_phone.json,done
8_at_the_doctor.json,done
9_talking_about_the_weather.json,done
10_checking_in_at_a_hotel.json,done
11_at_the_airport.json,done
12_renting_an_apartment.json,done
13_a_job_interview.json,done
14_at_the_bank.json,done
15_weekend_plans_with_a_friend.json,done
16_at_the_pharmacy.json,done
17_talking_about_family.json,skipped
18_at_the_gym.json,done
19_calling_tech_support.json,done
20_saying_goodbye.json,done
21_buying_a_bus_ticket.json,done
22_at_the_post_office.json,done
23_ordering_food_delivery.json,done
24_at_the_hair_salon.json,done
25_meeting_a_neighbor.json,done
26_a_coffee_break_at_work.json,done
27_booking_a_taxi.json,done
28_at_the_library.json,done
29_returning_an_item.json,done
30_talking_about_hobbies.json,done
31_at_the_train_station.json,done
32_making_a_reservation.json,done
33_at_the_dentist.json,done
